Keep;Transcript #;Start Time;End Time;Text;Reference Segment;Match %;Status;Intro Tag;Commentez Tag;Tippee Tag;Abonnez Tag;Zoom;Person Mention;Location Mention;Gov Institution;Brand Mention;Quote Extracted;Money Mention;Number Mention;Date Mention;Book Mention;Key Words;Feeling and Emotion;Titles;Relevant News;Hashtags;Article Links;Video Links;Image Links;Key Points;Percent Mention;Decibel Mention;Speed Mention;Weight Object Mention;Weight Person Mention;Distance Mention;Temperature Mention;Surface Mention;Volume Mention;Social Network Mention;City Mention;Country Mention;Ranking Mention;Spoken URL;Punctuation Signal;Bold Text;Concrete Emoji;CTA Detected;Italic Text;Underlined Text;List Marker;List Type;List Block;Title Level;Excerpt Video Links;Direct Video Links;Kind;Eliminate;Eliminate Reason;Repeat Group;Repeat Role;Anchor ID;Notes
x;1;00:00:00:15;00:00:05:19;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.;100.0%;ANCHOR;;;;;;;;;;;;;;;;;;;;https://www.rtl.fr/culture/cine-series/volee-a-nicolas-cage-disparue-pendant-11-ans-la-folle-histoire-d-une-edition-collector-du-premier-comics-superman-vendue-a-15-millions-de-dollars-7900587453;https://www.youtube.com/watch?v=GNEzg5pRJzA;https://upload.wikimedia.org/wikipedia/commons/1/1a/Ammonite_cat.JPG;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.youtube.com/watch?v=GNEzg5pRJzA;speech;;;;;A001;file_lang=fr | file_script=latin | match_width=2 | ref_cover=0.12 | ref_noise=0.00 | ref_span=0-1 | ref_support=1.00 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=1.00 | usable_noise=0.00 | usable_support=1.00 | word_range=0-14
x;3;00:00:06:17;00:00:09:21;Dans la salle, il y a un cheval, il y a un chien et il y a un cerf-volant.;Dans la salle il y a un chat et un chien et un cerf-volant.;65.7%;TRANSPOSED_MATCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;speech;;;;;;file_lang=fr | file_script=latin | match_width=2 | ref_cover=0.14 | ref_noise=0.10 | ref_span=2-3 | ref_support=0.90 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=0.47 | usable_noise=0.00 | usable_support=1.00 | word_range=15-33
x;5;00:00:10:18;00:00:15:06;Il achète un fossile de dinosaure pour 270 000 dollars.;Il achète un fossile de dinosaure pour 270 000 dollars.;100.0%;ANCHOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;speech;;;;;A002;file_lang=fr | file_script=latin | match_width=1 | ref_cover=0.08 | ref_noise=0.00 | ref_span=4-4 | ref_support=1.00 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=1.00 | usable_noise=0.00 | usable_support=1.00 | word_range=34-43
x;7;00:00:16:15;00:00:20:02;Il passe devant Leonardo DiCaprio qui voulait aussi le Fossil.;Il passe devant leonardo dicaprio qui voulait aussi le fossile.;92.8%;MATCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;speech;;;;;;file_lang=fr | file_script=latin | match_width=1 | ref_cover=0.07 | ref_noise=0.10 | ref_span=5-5 | ref_support=0.90 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=0.90 | usable_noise=0.00 | usable_support=1.00 | word_range=44-53
x;9;00:00:20:19;00:00:22:11;Mais le fossile a en fait été volé.;Mais le fossile a en fait été volé en mongolie.;87.0%;MATCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;speech;;;;;;file_lang=fr | file_script=latin | match_width=1 | ref_cover=0.06 | ref_noise=0.00 | ref_span=6-6 | ref_support=1.00 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=0.80 | usable_noise=0.00 | usable_support=1.00 | word_range=54-61
x;11;00:00:23:01;00:00:29:14;en Mongolie. Nicolas Cage devra rendre le fossile et il sera remboursé à 0%.;Nicolas cage devra rendre le fossile il sera remboursé à 0%.;72.7%;TRANSPOSED_MATCH;;;;;;;;;;;;;;;;;;;;;;;;0%;;;;;;;;;;;;;;;il sera remboursé;;;;;;;;;;;speech;;;;;;file_lang=fr | file_script=latin | match_width=1 | ref_cover=0.11 | ref_noise=0.00 | ref_span=7-7 | ref_support=1.00 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=1.00 | usable_noise=0.08 | usable_support=0.92 | word_range=62-75
x;13;00:00:31:08;00:00:32:19;Tous les journaux en parlent.;Tous les journaux en parle.;85.3%;MATCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;speech;;;;;;file_lang=fr | file_script=latin | match_width=1 | ref_cover=0.03 | ref_noise=0.20 | ref_span=8-8 | ref_support=0.80 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=0.80 | usable_noise=0.00 | usable_support=1.00 | word_range=76-80
;15;00:00:33:11;00:00:35:18;Il y a même des photos qui sortent;;;PRE_REPEAT_ELIMINATED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;speech;x;BAD_TAKE_PRE_REPEAT;REP001;PRE_REPEAT;;file_lang=fr | file_script=latin | ref_cover=0.06 | ref_noise=0.00 | ref_support=1.00 | repeat_core=il y a meme des photos qui sortent | repeat_selected_ref_span=9-9 | repeat_suffix_size=1 | row_lang=fr | row_script=latin | segment_source=words | word_range=81-88
x;17;00:00:36:17;00:00:38:16;Il y a même des photos qui sortent.;Il y a même des photos qui sortent;100.0%;ANCHOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;speech;;;REP001;LAST_TAKE;A003;file_lang=fr | file_script=latin | match_width=1 | ref_cover=0.06 | ref_noise=0.00 | ref_span=9-9 | ref_support=1.00 | repeat_core=il y a meme des photos qui sortent | repeat_selected_ref_span=9-9 | repeat_suffix_size=1 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=1.00 | usable_noise=0.00 | usable_support=1.00 | word_range=89-96
x;19;00:00:39:22;00:00:41:14;et même des vidéos qui ont marqué l'histoire.;Et même des video qui ont marqué l’histoire;78.7%;MATCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;speech;;;;;;file_lang=fr | file_script=latin | match_width=1 | ref_cover=0.06 | ref_noise=0.11 | ref_span=10-10 | ref_support=0.89 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=0.89 | usable_noise=0.11 | usable_support=0.89 | word_range=97-104
x;21;00:00:43:05;00:00:46:00;C'est fou, vrai, incroyable.;c’est fou,vrai, incroyable.;100.0%;MATCH;;;;;;;;;;;;;;;;;fou,vrai, incroyable.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;H1;;;speech;;;;;;file_lang=fr | file_script=latin | match_width=2 | ref_cover=0.04 | ref_noise=0.00 | ref_span=11-12 | ref_support=1.00 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=1.00 | usable_noise=0.00 | usable_support=1.00 | word_range=105-108
;23;00:00:47:09;00:00:48:06;Abonnez-vous à la chaîne;;;PRE_REPEAT_ELIMINATED;;;;Abonnez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;subscribe;;;;;;;;;speech;x;BAD_TAKE_PRE_REPEAT;REP002;PRE_REPEAT;;file_lang=fr | file_script=latin | ref_cover=0.04 | ref_noise=0.00 | ref_support=1.00 | repeat_core=abonnez vous a la chaine | repeat_selected_ref_span=13-14 | repeat_suffix_size=1 | row_lang=fr | row_script=latin | segment_source=words | word_range=109-112
;25;00:00:50:12;00:00:51:16;Abonnez-vous à la chaîne;;;PRE_REPEAT_ELIMINATED;;;;Abonnez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;subscribe;;;;;;;;;speech;x;BAD_TAKE_PRE_REPEAT;REP002;PRE_REPEAT;;file_lang=fr | file_script=latin | ref_cover=0.04 | ref_noise=0.00 | ref_support=1.00 | repeat_core=abonnez vous a la chaine | repeat_selected_ref_span=13-14 | repeat_suffix_size=1 | row_lang=fr | row_script=latin | segment_source=words | word_range=113-116
;27;00:00:52:15;00:00:54:10;Abonnez-vous à la chaîne !;;;PRE_REPEAT_ELIMINATED;;;;Abonnez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;subscribe;;;;;;;;;speech;x;BAD_TAKE_PRE_REPEAT;REP002;PRE_REPEAT;;file_lang=fr | file_script=latin | ref_cover=0.04 | ref_noise=0.00 | ref_support=1.00 | repeat_core=abonnez vous a la chaine | repeat_selected_ref_span=13-14 | repeat_suffix_size=1 | row_lang=fr | row_script=latin | segment_source=words | word_range=117-120
