Transcript #;Row ID;Keep;Status;Annotation Column;Annotation Value;Locator;Confidence;Timing Source;Timing Confidence;Edit Timestamp;Start Time;End Time;Source Timestamp;Source Start Time;Source End Time;Text;Reference Segment
1;1;x;ANCHOR;Person Mention;nicolas cage;reference_span;0.95;word_exact;0.95;00:00:02.233;00:00:02:07;00:00:03:00;00:00:02.233;00:00:02:07;00:00:03:00;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.
1;1;x;ANCHOR;Location Mention;washington;reference_span;0.95;word_exact;0.95;00:00:05.300;00:00:05:09;00:00:05:19;00:00:05.300;00:00:05:09;00:00:05:19;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.
1;1;x;ANCHOR;Date Mention;janvier 2012;reference_span;0.95;word_exact;0.95;00:00:01.167;00:00:01:05;00:00:02:00;00:00:01.167;00:00:01:05;00:00:02:00;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.
1;1;x;ANCHOR;Date Mention;2012;reference_span;0.95;word_exact;0.95;00:00:01.267;00:00:01:08;00:00:02:00;00:00:01.267;00:00:01:08;00:00:02:00;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.
1;1;x;ANCHOR;Key Words;enchère secrète;reference_span;0.95;word_exact;0.95;00:00:04.100;00:00:04:03;00:00:05:04;00:00:04.100;00:00:04:03;00:00:05:04;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.
1;1;x;ANCHOR;Relevant News;https://www.bbc.com/news/entertainment-arts-35002735;row_fallback;0.40;row_fallback;0.40;00:00:00.500;00:00:00:15;00:00:05:19;00:00:00.500;00:00:00:15;00:00:05:19;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.
1;1;x;ANCHOR;Article Links;https://www.rtl.fr/culture/cine-series/volee-a-nicolas-cage-disparue-pendant-11-ans-la-folle-histoire-d-une-edition-collector-du-premier-comics-superman-vendue-a-15-millions-de-dollars-7900587453;row_fallback;0.40;row_fallback;0.40;00:00:00.500;00:00:00:15;00:00:05:19;00:00:00.500;00:00:00:15;00:00:05:19;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.
1;1;x;ANCHOR;Video Links;https://www.youtube.com/watch?v=GNEzg5pRJzA;row_fallback;0.40;row_fallback;0.40;00:00:00.500;00:00:00:15;00:00:05:19;00:00:00.500;00:00:00:15;00:00:05:19;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.
1;1;x;ANCHOR;Image Links;https://upload.wikimedia.org/wikipedia/commons/1/1a/Ammonite_cat.JPG;row_fallback;0.40;row_fallback;0.40;00:00:00.500;00:00:00:15;00:00:05:19;00:00:00.500;00:00:00:15;00:00:05:19;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.
1;1;x;ANCHOR;City Mention;washington;reference_span;0.95;word_exact;0.95;00:00:05.300;00:00:05:09;00:00:05:19;00:00:05.300;00:00:05:09;00:00:05:19;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.
1;1;x;ANCHOR;Direct Video Links;https://www.youtube.com/watch?v=GNEzg5pRJzA;row_fallback;0.40;row_fallback;0.40;00:00:00.500;00:00:00:15;00:00:05:19;00:00:00.500;00:00:00:15;00:00:05:19;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.
3;3;x;TRANSPOSED_MATCH;Key Words;fossile de dinosaure;row_fallback;0.40;row_fallback;0.40;00:00:05.633;00:00:05:19;00:00:08:23;00:00:06.567;00:00:06:17;00:00:09:21;Dans la salle, il y a un cheval, il y a un chien et il y a un cerf-volant.;Dans la salle il y a un chat et un chien et un cerf-volant.
5;5;x;ANCHOR;Person Mention;leonardo dicaprio;row_fallback;0.40;row_fallback;0.40;00:00:08.767;00:00:08:23;00:00:13:11;00:00:10.600;00:00:10:18;00:00:15:06;Il achète un fossile de dinosaure pour 270 000 dollars.;Il achète un fossile de dinosaure pour 270 000 dollars.
5;5;x;ANCHOR;Money Mention;270 000 dollars;reference_span;0.95;word_exact;0.95;00:00:11.233;00:00:11:07;00:00:13:11;00:00:13.067;00:00:13:02;00:00:15:06;Il achète un fossile de dinosaure pour 270 000 dollars.;Il achète un fossile de dinosaure pour 270 000 dollars.
5;5;x;ANCHOR;Number Mention;270;reference_span;0.95;word_exact;0.95;00:00:11.233;00:00:11:07;00:00:12:12;00:00:13.067;00:00:13:02;00:00:14:07;Il achète un fossile de dinosaure pour 270 000 dollars.;Il achète un fossile de dinosaure pour 270 000 dollars.
7;7;x;MATCH;Location Mention;mongolie;row_fallback;0.40;row_fallback;0.40;00:00:13.367;00:00:13:11;00:00:16:28;00:00:16.500;00:00:16:15;00:00:20:02;Il passe devant Leonardo DiCaprio qui voulait aussi le Fossil.;Il passe devant leonardo dicaprio qui voulait aussi le fossile.
7;7;x;MATCH;Key Words;volé;row_fallback;0.40;row_fallback;0.40;00:00:13.367;00:00:13:11;00:00:16:28;00:00:16.500;00:00:16:15;00:00:20:02;Il passe devant Leonardo DiCaprio qui voulait aussi le Fossil.;Il passe devant leonardo dicaprio qui voulait aussi le fossile.
7;7;x;MATCH;City Mention;mongolie;row_fallback;0.40;row_fallback;0.40;00:00:13.367;00:00:13:11;00:00:16:28;00:00:16.500;00:00:16:15;00:00:20:02;Il passe devant Leonardo DiCaprio qui voulait aussi le Fossil.;Il passe devant leonardo dicaprio qui voulait aussi le fossile.
9;9;x;MATCH;Key Words;rendre le fossile;row_fallback;0.40;row_fallback;0.40;00:00:16.933;00:00:16:28;00:00:18:20;00:00:20.633;00:00:20:19;00:00:22:11;Mais le fossile a en fait été volé.;Mais le fossile a en fait été volé en mongolie.
11;11;x;TRANSPOSED_MATCH;Percent Mention;0%;reference_span;0.95;word_exact;0.95;00:00:24.167;00:00:24:05;00:00:25:03;00:00:28.533;00:00:28:16;00:00:29:14;en Mongolie. Nicolas Cage devra rendre le fossile et il sera remboursé à 0%.;Nicolas cage devra rendre le fossile il sera remboursé à 0%.
11;11;x;TRANSPOSED_MATCH;Bold Text;il sera remboursé;reference_span;0.95;word_exact;0.95;00:00:22.867;00:00:22:26;00:00:23:25;00:00:27.233;00:00:27:07;00:00:28:06;en Mongolie. Nicolas Cage devra rendre le fossile et il sera remboursé à 0%.;Nicolas cage devra rendre le fossile il sera remboursé à 0%.
19;19;x;MATCH;Brand Mention;tipee;row_fallback;0.40;row_fallback;0.40;00:00:28.433;00:00:28:13;00:00:30:05;00:00:39.733;00:00:39:22;00:00:41:14;et même des vidéos qui ont marqué l'histoire.;Et même des video qui ont marqué l’histoire
21;21;x;MATCH;Titles;fou,vrai, incroyable.;reference_span;0.95;word_exact;0.95;00:00:30.467;00:00:30:14;00:00:33:00;00:00:43.467;00:00:43:14;00:00:46:00;C'est fou, vrai, incroyable.;c’est fou,vrai, incroyable.
21;21;x;MATCH;Title Level;H1;row_fallback;0.40;row_fallback;0.40;00:00:30.167;00:00:30:05;00:00:33:00;00:00:43.167;00:00:43:05;00:00:46:00;C'est fou, vrai, incroyable.;c’est fou,vrai, incroyable.
29;29;x;TRANSPOSED_MATCH;Tippee Tag;Tippee;row_fallback;0.40;row_fallback;0.40;00:00:33.000;00:00:33:00;00:00:36:05;00:00:55.467;00:00:55:14;00:00:58:19;Abonnez-vous à la chaîne, faites-nous un don sur Tipeee;Abonnez vous à la chaine. Faite nous un don sur tipee.
29;29;x;TRANSPOSED_MATCH;Abonnez Tag;Abonnez;reference_span;0.95;word_exact;0.95;00:00:33.000;00:00:33:00;00:00:33:17;00:00:55.467;00:00:55:14;00:00:56:01;Abonnez-vous à la chaîne, faites-nous un don sur Tipeee;Abonnez vous à la chaine. Faite nous un don sur tipee.
29;29;x;TRANSPOSED_MATCH;Zoom;ZOOM_FACE;row_fallback;0.40;row_fallback;0.40;00:00:33.000;00:00:33:00;00:00:36:05;00:00:55.467;00:00:55:14;00:00:58:19;Abonnez-vous à la chaîne, faites-nous un don sur Tipeee;Abonnez vous à la chaine. Faite nous un don sur tipee.
