Row ID;Kind;Start Time;End Time;Text;Eliminate;Eliminate Reason;Repeat Group;Repeat Role;Reference Segment;Match %;Status;Anchor ID;Notes
1;speech;00:00:00:15;00:00:05:19;On est en janvier 2012, l'acteur Nicolas Cage participe à une enchère secrète à Washington;;;;;On est en janvier 2012. L’acteur nicolas cage participe à une enchère secrète à washington.;100.0%;ANCHOR;A001;file_lang=fr | file_script=latin | match_width=2 | ref_cover=0.12 | ref_noise=0.00 | ref_span=0-1 | ref_support=1.00 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=1.00 | usable_noise=0.00 | usable_support=1.00 | word_range=0-14
2;silence;00:00:05:19;00:00:06:17;;x;SILENCE;;;;;SILENCE;;segment_source=words
3;speech;00:00:06:17;00:00:09:21;Dans la salle, il y a un cheval, il y a un chien et il y a un cerf-volant.;;;;;Dans la salle il y a un chat et un chien et un cerf-volant.;65.7%;TRANSPOSED_MATCH;;file_lang=fr | file_script=latin | match_width=2 | ref_cover=0.14 | ref_noise=0.10 | ref_span=2-3 | ref_support=0.90 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=0.47 | usable_noise=0.00 | usable_support=1.00 | word_range=15-33
4;silence;00:00:09:21;00:00:10:18;;x;SILENCE;;;;;SILENCE;;segment_source=words
5;speech;00:00:10:18;00:00:15:06;Il achète un fossile de dinosaure pour 270 000 dollars.;;;;;Il achète un fossile de dinosaure pour 270 000 dollars.;100.0%;ANCHOR;A002;file_lang=fr | file_script=latin | match_width=1 | ref_cover=0.08 | ref_noise=0.00 | ref_span=4-4 | ref_support=1.00 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=1.00 | usable_noise=0.00 | usable_support=1.00 | word_range=34-43
6;silence;00:00:15:06;00:00:16:15;;x;SILENCE;;;;;SILENCE;;segment_source=words
7;speech;00:00:16:15;00:00:20:02;Il passe devant Leonardo DiCaprio qui voulait aussi le Fossil.;;;;;Il passe devant leonardo dicaprio qui voulait aussi le fossile.;92.8%;MATCH;;file_lang=fr | file_script=latin | match_width=1 | ref_cover=0.07 | ref_noise=0.10 | ref_span=5-5 | ref_support=0.90 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=0.90 | usable_noise=0.00 | usable_support=1.00 | word_range=44-53
8;silence;00:00:20:02;00:00:20:19;;x;SILENCE;;;;;SILENCE;;segment_source=words
9;speech;00:00:20:19;00:00:22:11;Mais le fossile a en fait été volé.;;;;;Mais le fossile a en fait été volé en mongolie.;87.0%;MATCH;;file_lang=fr | file_script=latin | match_width=1 | ref_cover=0.06 | ref_noise=0.00 | ref_span=6-6 | ref_support=1.00 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=0.80 | usable_noise=0.00 | usable_support=1.00 | word_range=54-61
10;silence;00:00:22:11;00:00:23:01;;x;SILENCE;;;;;SILENCE;;segment_source=words
11;speech;00:00:23:01;00:00:29:14;en Mongolie. Nicolas Cage devra rendre le fossile et il sera remboursé à 0%.;;;;;Nicolas cage devra rendre le fossile il sera remboursé à 0%.;72.7%;TRANSPOSED_MATCH;;file_lang=fr | file_script=latin | match_width=1 | ref_cover=0.11 | ref_noise=0.00 | ref_span=7-7 | ref_support=1.00 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=1.00 | usable_noise=0.08 | usable_support=0.92 | word_range=62-75
12;silence;00:00:29:14;00:00:31:08;;x;SILENCE;;;;;SILENCE;;segment_source=words
13;speech;00:00:31:08;00:00:32:19;Tous les journaux en parlent.;;;;;Tous les journaux en parle.;85.3%;MATCH;;file_lang=fr | file_script=latin | match_width=1 | ref_cover=0.03 | ref_noise=0.20 | ref_span=8-8 | ref_support=0.80 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=0.80 | usable_noise=0.00 | usable_support=1.00 | word_range=76-80
14;silence;00:00:32:19;00:00:33:11;;x;SILENCE;;;;;SILENCE;;segment_source=words
15;speech;00:00:33:11;00:00:35:18;Il y a même des photos qui sortent;x;BAD_TAKE_PRE_REPEAT;REP001;PRE_REPEAT;;;PRE_REPEAT_ELIMINATED;;file_lang=fr | file_script=latin | ref_cover=0.06 | ref_noise=0.00 | ref_support=1.00 | repeat_core=il y a meme des photos qui sortent | repeat_selected_ref_span=9-9 | repeat_suffix_size=1 | row_lang=fr | row_script=latin | segment_source=words | word_range=81-88
16;silence;00:00:35:18;00:00:36:17;;x;SILENCE;;;;;SILENCE;;segment_source=words
17;speech;00:00:36:17;00:00:38:16;Il y a même des photos qui sortent.;;;REP001;LAST_TAKE;Il y a même des photos qui sortent;100.0%;ANCHOR;A003;file_lang=fr | file_script=latin | match_width=1 | ref_cover=0.06 | ref_noise=0.00 | ref_span=9-9 | ref_support=1.00 | repeat_core=il y a meme des photos qui sortent | repeat_selected_ref_span=9-9 | repeat_suffix_size=1 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=1.00 | usable_noise=0.00 | usable_support=1.00 | word_range=89-96
18;silence;00:00:38:16;00:00:39:22;;x;SILENCE;;;;;SILENCE;;segment_source=words
19;speech;00:00:39:22;00:00:41:14;et même des vidéos qui ont marqué l'histoire.;;;;;Et même des video qui ont marqué l’histoire;78.7%;MATCH;;file_lang=fr | file_script=latin | match_width=1 | ref_cover=0.06 | ref_noise=0.11 | ref_span=10-10 | ref_support=0.89 | row_lang=fr | row_script=latin | segment_source=words | usable_cover=0.89 | usable_noise=0.11 | usable_support=0.89 | word_range=97-104
20;silence;00:00:41:14;00:00:43:05;;x;SILENCE;;;;;SILENCE;;segment_source=words
